No,Nama Lokasi,Kategori,Alamat Lengkap,Latitude (Garis Lintang),Longitude (Garis Bujur),Link Image
1,Bengkel Mobil,UMKM,"PC4X+959 Sindang Anom, Kabupaten Lampung Timur, Lampung",-5.294.089,105.447.983,https://drive.google.com/file/d/1ZsJKdUm_BhMSkn30bzW6b3wS9eAcD49p/view?usp=drive_link
2,Doni Cell,UMKM,"PC4X+F6X Sindang Anom, East Lampung Regency, Lampung",-5.293.754,105.448.120,https://drive.google.com/file/d/1gjMs-6YB72UWjObmPM6TSRwpFx7ts_ZX/view?usp=drive_link
3,Tiwak Laundry,UMKM,"PC4X+H73 Sindang Anom, East Lampung Regency, Lampung",-5.293.612,105.448.166,https://drive.google.com/file/d/1nXjVM6tKWjM54hIENlVqebpKw0J3DHhF/view?usp=drive_link
4,Duplikat Kunci,UMKM,"PC4X+M7X Sindang Anom, East Lampung Regency, Lampung",-5.293.271,105.448.250,https://drive.google.com/file/d/1KpAzhYulZ0ECxHby03lExToCNHFC64RL/view?usp=drive_link
5,Bengkel  ,UMKM,"PC4X+R8Q Sindang Anom, East Lampung Regency, Lampung",-5.292.909,105.448.349,
6,Pondok Pesantren Mathla'ul Falah,Pendidikan,"PC5X+8C9 Sindang Anom, East Lampung Regency, Lampung",-5.291.716,105.448.616,
7,Canon Fotokopi,UMKM,"PC5X+G7Q Sindang Anom, East Lampung Regency, Lampung",-5.291.155,105.448.250,
8,Umar Design dan Posyandu Cut Mutia,UMKM,"PC5W+JRQ Sindang Anom, East Lampung Regency, Lampung",-5.290.914,105.447.106,https://drive.google.com/file/d/1icW_NHdCRiTDD7tdMDCuNTnt-UDJrFuZ/view?usp=drive_link
9,Lapangan Voli sebelah Posyandu,Olahraga,"PC5W+QV2 Sindang Anom, East Lampung Regency, Lampung",-5.290.609,105.447.153,https://drive.google.com/file/d/1_Et8FduHToAUbvc_g5r0stfvKSMNsb43/view?usp=drive_link
10,Akhtar Cell,UMKM,"PC6W+6VV Sindang Anom, East Lampung Regency, Lampung",-5.289.381,105.447.168,https://drive.google.com/file/d/1qMm2NI2ViM4R8Y6s2IpF_qKENAUbPShn/view?usp=drive_link
11,Musholla Al-Amin Wahui II,Ibadah,"PC6W+8JQ Sindang Anom, East Lampung Regency, Lampung",-5.289.154,105.446.606,https://drive.google.com/file/d/1Y52Z4rnaZMoaromVbkOTIMT81xHC6mmr/view?usp=drive_link
12,Sheboba Center,UMKM,"PC5W+3P4 Sindang Anom, East Lampung Regency, Lampung",-5.292.361,105.446.813,https://drive.google.com/file/d/1vEQak1x6vmhqrxGc7lqcKk7kVV71DmAA/view?usp=drive_link
13,Agen BRI Link,UMKM,"PC4X+242 Sindang Anom, East Lampung Regency, Lampung",-5.294.988,105.447.770,https://drive.google.com/file/d/1X6TnlZQytyAhL0HDIzR6tIcFZiq2bRvQ/view?usp=drive_link
14,Faira Mini ATM,UMKM,"PC2W+XJH Sindang Anom, East Lampung Regency, Lampung",-5.297.563,105.446.615,https://drive.google.com/file/d/1FTGMnXi93BSw2KsHPb0kMQVeltFGR-A0/view?usp=drive_link
15,SDN 1 Sindang Anom,Pendidikan,"PC3W+2W8 Sindang Anom, East Lampung Regency, Lampung",-5.297.474,105.447.336,https://drive.google.com/file/d/1X7aI1yimWwWvG0MFe-Ma2DFK3c4mu832/view?usp=drive_link
16,POM Bensin Desa Sindang Anom,UMKM,"PC3W+79X Sindang Anom, East Lampung Regency, Lampung",-5.296.768,105.445.973,https://drive.google.com/file/d/11zNZD0CcUGlF3uD8AIjT4bM6wNS_AiIF/view?usp=drive_link
17,Pustu ILP,Kesehatan,"PC3W+79F Sindang Anom, East Lampung Regency, Lampung",-5.296.818,105.445.923,https://drive.google.com/file/d/1grFcyGs9mKItjBJ-tAvzqg2wpS7YWIcS/view?usp=drive_link
18,AL CELL,UMKM,"PC3W+737 Sindang Anom, East Lampung Regency, Lampung",-5.296.842,105.445.176,https://drive.google.com/file/d/1tYZAU9cOiLsXKpdfCZzTal157fbgWzpM/view?usp=drive_link
19,Toko Bangunan,UMKM,"PC3V+6RP Sindang Anom, East Lampung Regency, Lampung",-5.296.915,105.444.593,https://drive.google.com/file/d/1_dZRAPqBkwCj7fqtoTWeZJ9pGB4EwP_3/view?usp=drive_link
20,Musholla Nurul Falah,Ibadah,"PC3V+9HW Sindang Anom, East Lampung Regency, Lampung",-5.296.518,105.443.938,https://drive.google.com/file/d/1KwwQzlv_KAJ4Z6DlD45Uz7wopdX7Eo1x/view?usp=drive_link
21,PAUD AL HIDAYAH,Pendidikan,"PC3V+G3X Sindang Anom, East Lampung Regency, Lampung",-5.296.127,105.442.742,https://drive.google.com/file/d/15J_clNM0xVZaPtTMeHmElkhtAssa6tPZ/view?usp=drive_link
22,Warung ,UMKM,"PC3V+J27 Sindang Anom, East Lampung Regency, Lampung",-5.295.972,105.442.547,https://drive.google.com/file/d/1HhBHFJu6j5-HETG1OH1qvYLi8dilOeJ1/view?usp=drive_link
23,Bengkel,UMKM,"PC4Q+6Q2 Sindang Anom, East Lampung Regency, Lampung",-5.294.479,105.439.403,https://drive.google.com/file/d/1ZoyPsjOgxIy5MiXU0fH4n67Nr9_yAITz/view?usp=drive_link
24,MASJID AR-RAHMAN,Ibadah,"PC4Q+6Q7 Sindang Anom, East Lampung Regency, Lampung",-5.294.460,105.439.411,https://drive.google.com/file/d/16gTqEdNoaWZERaSoMh1vHxCH-LdXhHi4/view?usp=drive_link
25,Bengkel,UMKM,"MCXW+W47 Sindang Anom, East Lampung Regency, Lampung",-5.300.210,105.445.305,
26,Warung ,UMKM,"MCXW+824 Sindang Anom, East Lampung Regency, Lampung",-5.301.735,105.445.076,https://drive.google.com/file/d/1s4_rk_Ri5wGmNwgfQyIKaEEfT1_-d3zZ/view?usp=drive_link
27,Toko SRC Herdi,UMKM,"MCWV+PXH Sindang Anom, East Lampung Regency, Lampung",-5.303.200,105.444.977,https://drive.google.com/file/d/1UgFJHds-L6hHnsBzq5-BbQLIgWnd3TnJ/view?usp=drive_link
28,Warung ,UMKM,"MCWV+6WR Sindang Anom, East Lampung Regency, Lampung",-5.304.384,105.444.768,https://drive.google.com/file/d/1NiKn-mvoR6CUJlOjyDIv6OtPcQkU1trS/view?usp=drive_link
29,Musholla,Ibadah,"MCWW+J9M Sindang Anom, East Lampung Regency, Lampung",-5.303.415,105.445.933,https://drive.google.com/file/d/1dXaCp7e6mqorqRHnrpTOozSc2CqLEIwi/view?usp=drive_link
30,TPQ AL-Hikmah,Pendidikan,"MCXW+5G7 Sindang Anom, East Lampung Regency, Lampung",-5.302.080,105.446.289,https://drive.google.com/file/d/1IzEhjDGBRLLJp07lwviHkf1F7xlLVxj4/view?usp=drive_link
